,Forecast
2023-07-05,429.60766815912865
2023-07-06,429.60766351621186
2023-07-07,429.6076635162571
2023-07-08,429.6076635162571
2023-07-09,429.6076635162571
2023-07-10,429.6076635162571
2023-07-11,429.6076635162571
2023-07-12,429.6076635162571
2023-07-13,429.6076635162571
2023-07-14,429.6076630005224
2023-07-15,429.60766209798663
2023-07-16,429.60766351625705
2023-07-17,429.607854648001
2023-07-18,429.6078546465643
2023-07-19,429.6078546465643
2023-07-20,429.6078546465643
2023-07-21,429.6078546465643
2023-07-22,429.6078546465643
2023-07-23,429.6078546465643
2023-07-24,429.6078546465643
2023-07-25,429.6078546465643
2023-07-26,429.6078546464047
2023-07-27,429.6078546461254
2023-07-28,429.6078546465643
2023-07-29,429.6078547057083
2023-07-30,429.60785470570784
2023-07-31,429.60785470570784
